question,answer
Siparişimi nasıl iptal ederim?,Siparişiniz kargoya verilmeden önce “Hesabım > Siparişlerim” sekmesinden iptal edebilirsiniz.
Ürünüm ne zaman kargoya verilir?,Siparişiniz onaylandıktan sonra genellikle 1-3 iş günü içinde kargoya teslim edilir.
İade süresi ne kadar?,Ürünü teslim aldığınız tarihten itibaren 14 gün içinde iade edebilirsiniz.
Kargo ücreti ne kadar?,"500 TL üzeri alışverişlerde kargo ücretsizdir, aksi halde 39 TL'dir."
Hangi kargo firmasıyla çalışıyorsunuz?,"Aras, Yurtiçi ve MNG Kargo ile gönderim yapıyoruz."
Ürünü iade ettiğimde param ne zaman yatar?,İade onaylandıktan sonra 3-5 iş günü içinde ücret kartınıza iade edilir.
Üründe hasar varsa ne yapmalıyım?,Hasarlı ürünleri teslim almayın ve müşteri hizmetleriyle iletişime geçin.
Siparişim eksik geldi ne yapmalıyım?,"Eksik ürünler için destek talebi oluşturun, kısa sürede kargo yapılacaktır."
Faturam ne zaman gelir?,Dijital fatura siparişinizle birlikte e-posta adresinize gönderilir.
Üyelik oluşturmadan sipariş verebilir miyim?,"Evet, misafir kullanıcı olarak da sipariş verebilirsiniz."
